,precision@k,map@k
als_baseline,0.20744368266405486,0.3459686853846991
als_tf-idf,0.21322233104799218,0.3675243497660246
als_bm25,0.22262487757100882,0.4265664109261073
item basket,0.1447600391772772,0.2780389596256393
item basket log,0.21684622918707153,0.4146159810643161
sell days,0.19980411361410383,0.4136807596038742
sell days log,0.2169441723800196,0.4115416530634455
user basket,0.20891283055827622,0.4045162694526063
user basket log,0.2060724779627816,0.34528988464468385
buy days,0.21371204701273264,0.4118137174883012
buy days log,0.2063663075416259,0.34405743280008705
mbv per user,0.21145935357492654,0.3561466155185548
mbv per user log,0.20783545543584722,0.3438731091522472
