,precision@k,map@k
als_baseline,0.16709108716944174,0.2901465066927849
als_tf-idf,0.18011753183153772,0.31919346501251494
als_bm25,0.2014691478942214,0.3577177875720971
item basket,0.08903036238981392,0.22896737947545978
item basket log,0.18393731635651323,0.3421747469800849
sell days,0.18452497551420177,0.34134359016215043
sell days log,0.16464250734573949,0.2976758896506693
user basket,0.20460333006856024,0.39734329089128306
user basket log,0.18560235063663075,0.3495851017520949
buy days,0.2051909892262488,0.39892942648819235
buy days log,0.18550440744368268,0.34866960496245514
mbv per user,0.2062683643486778,0.3912463271302644
mbv per user log,0.18099902056807052,0.3329544836217216
